Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot68,"IcyClawz",normal,77,Pending,"Power Station Switch","Power Station Switch: Objective #1","2","23:19:12","N/A",
Bot68,"IcyClawz",normal,77,Completed,"Power Station West Shack","Power Station West Shack: Objective #1","1","23:19:57","23:20:15",
Bot68,"IcyClawz",normal,77,Failed,"IDEA Office","IDEA Office: Objective #3","1","23:20:21","23:21:24",
Bot68,"IcyClawz",normal,77,Failed,"IDEA Office","IDEA Office: Objective #2","1","23:21:29","23:21:29",
Bot68,"IcyClawz",normal,77,Failed,"IDEA Office","IDEA Office: Objective #1","1","23:21:34","23:21:34",
Bot68,"IcyClawz",normal,77,Failed,"Boss Hunter","Spawn Point (-70.5 27.1 -286.8)","1","23:21:39","23:21:39",
Bot68,"IcyClawz",normal,77,Failed,"Boss Hunter","Spawn Point (-65.8 27.3 -275.6)","1","23:21:45","23:21:45",
Bot68,"IcyClawz",normal,77,Failed,"Boss Hunter","Spawn Point (-70.5 27.1 -261.7)","1","23:21:50","23:21:50",
Bot68,"IcyClawz",normal,77,Failed,"Boss Hunter","Spawn Point (-51.9 27.1 -204.1)","1","23:21:55","23:21:55",
Bot68,"IcyClawz",normal,77,Failed,"Boss Hunter","Spawn Point (-55.0 27.1 -200.5)","1","23:22:00","23:22:00",
Bot75,"Styrr",normal,60,Failed,"Generic","Generic: Objective #3","1","23:19:30","23:19:40",
Bot75,"Styrr",normal,60,Failed,"Generic","Generic: Objective #2","1","23:19:46","23:19:51",
Bot75,"Styrr",normal,60,Failed,"Generic","Generic: Objective #1","1","23:19:57","23:21:03",
Bot75,"Styrr",normal,60,Active,"Провокация","Zone quest_zone_keeper6_safe_hide","1","23:21:09","N/A",
Bot76,"laser50",normal,18,Failed,"Распродажа","Zone place_SALE_03_AVOKADO","1","23:19:32","23:23:21",
Bot77,"hughz001",normal,15,Failed,"Картотека - Часть 1","Item Грузовые ведомости OLI","1","23:20:00","23:33:23",
Bot77,"hughz001",normal,15,Completed,"Картотека - Часть 1","Item Грузовые ведомости Гошана","1","23:20:23","23:24:52",
Bot77,"hughz001",normal,15,Completed,"Картотека - Часть 1","Item Грузовые ведомости IDEA","1","23:24:57","23:26:19",
Bot77,"hughz001",normal,15,Completed,"IDEA Office","IDEA Office: Objective #1","2","23:26:24","23:26:40",
Bot77,"hughz001",normal,15,Completed,"IDEA Office","IDEA Office: Objective #3","1","23:26:45","23:27:25",
Bot77,"hughz001",normal,15,Completed,"IDEA Office","IDEA Office: Objective #2","3","23:27:30","23:28:47",
Bot77,"hughz001",normal,15,Failed,"IDEA North Bus","IDEA North Bus: Objective #1","1","23:28:52","23:28:52",
Bot77,"hughz001",normal,15,Failed,"Распродажа","Zone place_SALE_03_TREND","1","23:28:57","23:33:23",
Bot77,"hughz001",normal,15,Completed,"Распродажа","Zone place_SALE_03_DINO","1","23:30:44","23:31:37",
Bot77,"hughz001",normal,15,Completed,"Распродажа","Zone place_SALE_03_KOSTIN","1","23:31:42","23:32:20",
Bot77,"hughz001",normal,15,Failed,"Распродажа","Zone place_SALE_03_AVOKADO","1","23:32:25","23:33:23",
Bot83,"Кирилл Пшеничка (ODT)",normal,1,Failed,"Goshan South Office","Goshan South Office: Objective #1","1","23:25:55","23:25:55",
Bot83,"Кирилл Пшеничка (ODT)",normal,1,Completed,"Goshan South Office","Goshan South Office: Objective #2","1","23:26:00","23:30:52",
Bot83,"Кирилл Пшеничка (ODT)",normal,1,Completed,"OLI Back Storage","OLI Back Storage: Objective #1","1","23:30:57","23:32:39",
Bot83,"Кирилл Пшеничка (ODT)",normal,1,Completed,"OLI Back Storage","OLI Back Storage: Objective #2","1","23:32:45","23:33:36",
Bot83,"Кирилл Пшеничка (ODT)",normal,1,Pending,"OLI NW Office","OLI NW Office: Objective #1","1","23:33:41","N/A",
Bot83,"Кирилл Пшеничка (ODT)",normal,1,Failed,"Safe Room Area","Safe Room Area: Objective #1","1","23:34:33","23:34:33",
Bot83,"Кирилл Пшеничка (ODT)",normal,1,Completed,"Safe Room Area","Safe Room Area: Objective #2","1","23:34:38","23:35:37",
Bot83,"Кирилл Пшеничка (ODT)",normal,1,Completed,"Generic","Generic: Objective #3","1","23:35:42","23:36:06",
Bot83,"Кирилл Пшеничка (ODT)",normal,1,Completed,"Generic","Generic: Objective #2","1","23:36:11","23:36:20",
Bot83,"Кирилл Пшеничка (ODT)",normal,1,Completed,"Generic","Generic: Objective #1","1","23:36:25","23:36:39",
Bot83,"Кирилл Пшеничка (ODT)",normal,1,Active,"OLI North Lockers","OLI North Lockers: Objective #1","1","23:36:44","N/A",
