Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot1,"K4_a",normal,7,Completed,"Underground North","Underground North: Objective #1","1","21:20:12","21:20:29",
Bot1,"K4_a",normal,7,Completed,"Underground North","Underground North: Objective #2","1","21:20:34","21:20:57",
Bot1,"K4_a",normal,7,Completed,"Underground North","Underground North: Objective #3","1","21:21:02","21:21:13",
Bot1,"K4_a",normal,7,Completed,"Underground North","Underground North: Objective #4","2","21:21:18","21:21:44",
Bot1,"K4_a",normal,7,Completed,"Underground North","Underground North: Objective #6","1","21:21:49","21:21:51",
Bot1,"K4_a",normal,7,Completed,"Underground North","Underground North: Objective #5","1","21:21:56","21:23:19",
Bot1,"K4_a",normal,7,Pending,"Underground North","Underground North: Objective #8","1","21:23:24","N/A",
Bot2,"crustyselenium_",normal,5,Pending,"TerraGroup Office","TerraGroup Office: Objective #1","1","21:20:12","N/A",
Bot3,"BrandoTheDev",normal,2,Active,"Capital Insight Stairwell Camping","Capital Insight Stairwell Camping: Objective #1","2","21:20:22","N/A",
Bot4,"Харитон Табурет (kmyuhkyuk)",normal,1,Completed,"Tarbank","Tarbank: Objective #5","1","21:20:50","21:21:33",
Bot4,"Харитон Табурет (kmyuhkyuk)",normal,1,Completed,"Tarbank","Tarbank: Objective #6","1","21:21:38","21:21:46",
Bot4,"Харитон Табурет (kmyuhkyuk)",normal,1,Completed,"Tarbank","Tarbank: Objective #1","1","21:21:51","21:22:01",
Bot4,"Харитон Табурет (kmyuhkyuk)",normal,1,Completed,"Tarbank","Tarbank: Objective #2","1","21:22:06","21:22:20",
Bot4,"Харитон Табурет (kmyuhkyuk)",normal,1,Completed,"Tarbank","Tarbank: Objective #4","1","21:22:25","21:22:41",
Bot4,"Харитон Табурет (kmyuhkyuk)",normal,1,Completed,"Tarbank","Tarbank: Objective #3","1","21:22:47","21:23:18",
Bot4,"Харитон Табурет (kmyuhkyuk)",normal,1,Active,"Tarbank Upstairs","Tarbank Upstairs: Objective #1","1","21:23:23","N/A",
Bot6,"Богдан Удмурт (Maksim Petrov)",normal,1,Pending,"TerraGroup Office Upstairs Sniping","TerraGroup Office Upstairs Sniping: Objective #1","1","21:22:14","N/A",
Bot6,"Богдан Удмурт (Maksim Petrov)",normal,1,Active,"TerraGroup Office Upstairs Sniping","TerraGroup Office Upstairs Sniping: Objective #2","2","21:22:29","N/A",
Bot7,"Донатий Трансформатор (Nomad_420)",normal,1,Pending,"TerraGroup Office Upstairs Sniping","TerraGroup Office Upstairs Sniping: Objective #1","1","21:22:14","N/A",
Bot8,"Ratthew",normal,18,Active,"Capital Insight","Capital Insight: Objective #4","1","21:23:11","N/A",
