Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot1,"Leonana69",normal,12,Completed,"Сигнал - Часть 1","Zone place_SIGNAL_01_2","1","14:05:52","14:08:40",
Bot1,"Leonana69",normal,12,Completed,"Сигнал - Часть 1","Zone place_SIGNAL_01_1","1","14:08:45","14:11:35",
Bot1,"Leonana69",normal,12,Completed,"Груз X - Часть 3","Zone place_peacemaker_009_3_N1","1","14:11:40","14:12:08",
Bot1,"Leonana69",normal,12,Completed,"Гуманитарка","Zone place_peacemaker_005_N1","1","14:12:13","14:12:51",
Bot2,"Fershte",normal,9,Completed,"West Cottage","West Cottage: Objective #1","3","14:05:55","14:07:56",
Bot2,"Fershte",normal,9,Completed,"Cottage Garage","Cottage Garage: Objective #1","1","14:08:02","14:09:13",
Bot2,"Fershte",normal,9,Failed,"Power Station Sniping 2","Power Station Sniping 2: Objective #1","1","14:09:18","14:09:40",
Bot3,"冰淇淋",normal,6,Completed,"Lookout","Lookout: Objective #1","1","14:05:58","14:07:07",
Bot3,"冰淇淋",normal,6,Completed,"Resort Main 2nd Floor","Resort Main 2nd Floor: Objective #5","1","14:07:12","14:08:43",
Bot3,"冰淇淋",normal,6,Completed,"Resort Main 2nd Floor","Resort Main 2nd Floor: Objective #6","1","14:08:48","14:09:14",
Bot3,"冰淇淋",normal,6,Completed,"Resort Main 2nd Floor","Resort Main 2nd Floor: Objective #4","1","14:09:19","14:09:48",
Bot3,"冰淇淋",normal,6,Completed,"Resort Main 2nd Floor","Resort Main 2nd Floor: Objective #2","1","14:09:53","14:10:27",
Bot3,"冰淇淋",normal,6,Completed,"Resort Main 2nd Floor","Resort Main 2nd Floor: Objective #1","1","14:10:32","14:10:46",
Bot3,"冰淇淋",normal,6,Completed,"Resort Main 2nd Floor","Resort Main 2nd Floor: Objective #3","1","14:10:51","14:11:10",
Bot3,"冰淇淋",normal,6,Archived,"Resort West Wing Basement","Resort West Wing Basement: Objective #1","1","14:11:15","14:12:20",
Bot3,"冰淇淋",normal,6,Completed,"Resort East Wing 3rd Floor","Resort East Wing 3rd Floor: Objective #9","1","14:12:26","14:14:11",
Bot3,"冰淇淋",normal,6,Completed,"Resort East Wing 3rd Floor","Resort East Wing 3rd Floor: Objective #8","1","14:14:17","14:14:24",
Bot3,"冰淇淋",normal,6,Completed,"Resort East Wing 3rd Floor","Resort East Wing 3rd Floor: Objective #7","1","14:14:29","14:14:53",
Bot3,"冰淇淋",normal,6,Completed,"Resort East Wing 3rd Floor","Resort East Wing 3rd Floor: Objective #6","1","14:14:58","14:15:02",
Bot3,"冰淇淋",normal,6,Completed,"Resort East Wing 3rd Floor","Resort East Wing 3rd Floor: Objective #5","1","14:15:07","14:15:15",
Bot3,"冰淇淋",normal,6,Completed,"Resort East Wing 3rd Floor","Resort East Wing 3rd Floor: Objective #4","1","14:15:20","14:15:37",
Bot3,"冰淇淋",normal,6,Completed,"Resort East Wing 3rd Floor","Resort East Wing 3rd Floor: Objective #3","1","14:15:42","14:16:20",
Bot3,"冰淇淋",normal,6,Completed,"Resort East Wing 3rd Floor","Resort East Wing 3rd Floor: Objective #2","1","14:16:25","14:17:18",
Bot3,"冰淇淋",normal,6,Completed,"Resort East Wing 3rd Floor","Resort East Wing 3rd Floor: Objective #1","1","14:17:23","14:17:31",
Bot3,"冰淇淋",normal,6,Completed,"Resort East Wing 1st Floor","Resort East Wing 1st Floor: Objective #2","1","14:17:36","14:18:00",
Bot3,"冰淇淋",normal,6,Completed,"Resort East Wing 1st Floor","Resort East Wing 1st Floor: Objective #1","1","14:18:05","14:18:19",
Bot3,"冰淇淋",normal,6,Completed,"Resort Main 1st Floor","Resort Main 1st Floor: Objective #1","1","14:18:24","14:19:50",
