Quest Name,Objective,Steps,Min Level,Max Level,First Step Position
Реагент - Часть 1,"Item Защищенный кейс для документов 0013",1,10,25,"(-341.0, -3.7, -88.2)"
Путевка в Санаторий - Часть 2,"Zone place_peacemaker_008_2_N2",1,12,29,"(-280.5, -6.7, -41.3)"
Путевка в Санаторий - Часть 4,"Zone place_peacemaker_008_4_N1",1,12,29,"(-336.5, -0.8, -76.4)"
Путевка в Санаторий - Часть 4,"Zone place_peacemaker_008_4_N2",1,12,29,"(-171.3, -0.8, -75.6)"
Путевка в Санаторий - Часть 5,"Item Ключ от закрытых помещений Санатория",1,12,29,"(-152.8, -15.1, -301.5)"
Рыболовные снасти,"Zone place_peacemaker_001",2,10,25,"(-182.2, -64.9, 459.8)"
Металлолом,"Zone place_peacemaker_003_N3",1,10,25,"(-349.9, -42.8, 186.1)"
Глаз орла,"Zone place_peacemaker_004_N1",1,11,27,"(-552.4, -31.7, -127.2)"
Глаз орла,"Item SAS диск с беспилотника №1",1,11,27,"(-553.5, -31.6, -128.6)"
Глаз орла,"Item SAS диск с беспилотника №2",1,11,27,"(81.1, -32.0, -166.4)"
Гуманитарка,"Zone place_peacemaker_005_N1",1,11,27,"(-233.0, -5.1, -164.0)"
Гуманитарка,"Zone place_peacemaker_005_N2",1,11,27,"(-597.3, -59.5, 474.6)"
Секта - Часть 1,"Zone place_peacemaker_007_1_N1",1,12,29,"(287.1, -50.6, -42.3)"
Секта - Часть 2,"Zone place_peacemaker_007_2_N3",1,18,41,"(-336.9, 2.1, -88.7)"
Груз X - Часть 1,"Item Защищенный ноутбук Toughbook",1,12,29,"(-285.6, 2.1, -88.9)"
Груз X - Часть 2,"Zone place_peacemaker_009_2",1,12,29,"(-337.0, -3.7, -88.1)"
Груз X - Часть 2,"Item Защищенный кейс для документов 0013",1,12,29,"(-341.0, -3.7, -88.2)"
Груз X - Часть 3,"Zone place_peacemaker_009_3_N1",1,12,29,"(-149.9, -3.7, -77.0)"
Мокрое дело - Часть 2,"Zone place_peacemaker_010_2",1,14,33,"(235.6, -64.3, 442.0)"
Мокрое дело - Часть 3,"Zone place_peacemaker_010_3",1,14,33,"(72.9, -58.2, 348.7)"
Мокрое дело - Часть 4,"Item Защищенный флеш-накопитель Sliderkey",1,14,33,"(-267.3, -0.8, -146.0)"
Мокрое дело - Часть 5,"Item Рабочий жесткий диск",1,14,33,"(-358.5, 2.1, -77.1)"
Врачебная тайна - Часть 1,"Zone ter_013_area_1",1,20,45,"(312.7, -58.0, 314.5)"
Врачебная тайна - Часть 1,"Zone ter_013_area_2",1,20,45,"(354.9, -57.5, 306.1)"
Врачебная тайна - Часть 1,"Zone ter_013_area_3",1,20,45,"(-258.1, -2.9, -85.7)"
Врачебная тайна - Часть 2,"Item Защищенный кейс для документов 0060",1,20,45,"(-217.7, 2.1, -86.3)"
Сигнал - Часть 1,"Zone place_SIGNAL_01_1",1,12,29,"(-230.4, 6.9, -93.6)"
Сигнал - Часть 1,"Zone place_SIGNAL_01_2",1,12,29,"(-483.3, -25.9, 253.7)"
Сигнал - Часть 3,"Zone place_SIGNAL_03_1",1,15,35,"(-483.8, -25.4, 248.8)"
Сигнал - Часть 3,"Zone place_SIGNAL_03_2",1,15,35,"(-230.5, 6.9, -92.4)"
Сигнал - Часть 3,"Zone place_SIGNAL_03_3",1,15,35,"(-708.7, -27.6, 90.3)"
Витамины - Часть 1,"Item Химический контейнер №1",1,22,48,"(-186.1, -3.5, -86.8)"
Лендлиз - Часть 1,"Item Контроллер мотора №2",1,25,53,"(-567.1, -44.8, 104.5)"
Лендлиз - Часть 1,"Item Контроллер мотора №3",1,25,53,"(-288.7, 2.1, -84.5)"
Лендлиз - Часть 1,"Item Одноосный волоконно-оптический гироскоп №2",1,25,53,"(-180.9, -0.8, -80.6)"
Визит вежливости,"Zone huntsman_024_1",1,20,45,"(405.8, -53.2, -44.6)"
Визит вежливости,"Zone huntsman_024_2",1,20,45,"(382.9, -54.5, -126.2)"
Визит вежливости,"Zone huntsman_024_3",1,20,45,"(287.1, -50.6, -46.3)"
Ностальгия,"Zone huntsman_026",1,28,57,"(-229.1, 2.1, -88.9)"
Ностальгия,"Item Фотоальбом",1,28,57,"(-226.6, 2.1, -87.0)"
Анестезия,"Zone prapor_022_area_1",1,21,47,"(-263.8, -4.5, -85.5)"
Анестезия,"Zone prapor_022_area_2",1,21,47,"(96.3, -48.5, 97.9)"
Анестезия,"Zone prapor_022_area_3",1,21,47,"(-306.3, -61.3, 495.0)"
Коллеги - Часть 1,"Zone ter_023_area_1_1",1,21,47,"(-253.2, -4.8, -56.9)"
Коллеги - Часть 1,"Zone ter_023_area_3_1",1,21,47,"(-311.8, -61.7, 489.8)"
Коллеги - Часть 1,"Zone ter_023_area_2_1",1,21,47,"(94.2, -48.3, 62.0)"
Коллеги - Часть 2,"Item Помеченный синим символом хирургический набор",1,21,47,"(-314.6, -54.4, 480.2)"
Коллеги - Часть 2,"Item Офтальмоскоп с маркировкой",1,21,47,"(98.6, -45.3, 107.3)"
Игра на верняк,"Zone skier_022_area_1",2,21,47,"(-263.6, -4.6, -85.7)"
Игра на верняк,"Zone skier_022_area_2",2,21,47,"(98.1, -48.1, 97.0)"
Игра на верняк,"Zone skier_022_area_3",2,21,47,"(-305.4, -61.5, 492.2)"
Кабинет химии,"Zone place_meh_sanitar_room",1,22,48,"(-322.8, -3.7, -77.5)"
«‎Выгодная»‎ сделка,"Zone q14_11_jeep",1,15,35,"(227.2, -54.2, -159.9)"
Spawn Point Wander,"Spawn Point (-917.4 -58.3 254.2)",1,0,99,"(-917.4, -58.3, 254.2)"
Spawn Point Wander,"Spawn Point (-343.3 -5.2 -113.7)",1,0,99,"(-343.3, -5.2, -113.7)"
Spawn Point Wander,"Spawn Point (228.1 -64.6 425.7)",1,0,99,"(228.1, -64.6, 425.7)"
Spawn Point Wander,"Spawn Point (-936.5 -55.5 163.4)",1,0,99,"(-936.5, -55.5, 163.4)"
Spawn Point Wander,"Spawn Point (-615.1 -29.7 -177.9)",1,0,99,"(-615.1, -29.7, -177.9)"
