Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot1,"KokaZ93",normal,3,Active,"Scav Bunker","Scav Bunker: Objective #1","1","21:04:38","N/A",
Bot2,"Gatsu66",normal,35,Completed,"Кровь войны - Часть 3","Zone bar_fuel3_2","1","21:04:41","21:18:21",
Bot2,"Gatsu66",normal,35,Completed,"Кровь войны - Часть 3","Zone bar_fuel3_3","1","21:18:26","21:19:49",
Bot2,"Gatsu66",normal,35,Active,"Кровь войны - Часть 3","Zone bar_fuel3_1","1","21:19:54","N/A",
Bot5,"TinglePlayerParkov",normal,65,Completed,"Ответная услуга","Zone place_keeper5_1","2","21:05:33","21:12:37",
Bot6,"dushaoan",normal,9,Pending,"Поисковая миссия","Zone pr_scout_base","1","21:05:33","N/A",
Bot7,"bluehead",normal,78,Completed,"Boss Hunter","Spawn Point (-108.5 10.1 -609.9)","1","21:05:40","21:12:09",
Bot7,"bluehead",normal,78,Completed,"Boss Hunter","Spawn Point (-171.7 14.8 -617.7)","1","21:12:14","21:18:40",
Bot7,"bluehead",normal,78,Completed,"Sunken Village","Sunken Village: Objective #2","1","21:18:45","21:19:06",
Bot7,"bluehead",normal,78,Active,"Sunken Village","Sunken Village: Objective #3","1","21:19:11","N/A",
Bot8,"pplatinumssEU",normal,20,Pending,"Устойчивый сигнал","Zone q14_8_3","1","21:05:40","N/A",
Bot12,"Cheese",normal,74,Pending,"USEC Camp North","USEC Camp North: Objective #3","1","21:06:09","N/A",
Bot9,"vampuico",normal,34,Active,"Boss Hunter","Spawn Point (281.7 8.2 -668.6)","1","21:06:09","N/A",
Bot10,"notGreg",normal,76,Pending,"USEC Camp South","USEC Camp South: Objective #1","1","21:06:09","N/A",
Bot11,"DevTest",normal,17,Pending,"USEC Camp North","USEC Camp North: Objective #3","1","21:06:09","N/A",
Bot21,"Глеб Сильвестр (aleves)",normal,1,Completed,"Old Sawmill","Old Sawmill: Objective #1","1","21:29:29","21:30:39",
Bot21,"Глеб Сильвестр (aleves)",normal,1,Completed,"Old Sawmill","Old Sawmill: Objective #3","1","21:30:44","21:31:15",
Bot21,"Глеб Сильвестр (aleves)",normal,1,Pending,"Old Sawmill","Old Sawmill: Objective #2","2","21:31:20","N/A",
Bot21,"Глеб Сильвестр (aleves)",normal,1,Completed,"Old Sawmill","Old Sawmill: Objective #4","3","21:32:07","21:32:48",
Bot21,"Глеб Сильвестр (aleves)",normal,1,Completed,"Old Sawmill","Old Sawmill: Objective #5","1","21:32:53","21:33:22",
Bot21,"Глеб Сильвестр (aleves)",normal,1,Completed,"VEX Beach","VEX Beach: Objective #1","2","21:33:27","21:35:39",
Bot21,"Глеб Сильвестр (aleves)",normal,1,Pending,"Sniper Rock Crates","Sniper Rock Crates: Objective #3","1","21:35:44","N/A",
Bot22,"Вася Внесистемный (r2go)",normal,1,Active,"Scav Base","Scav Base: Objective #2","1","21:30:54","N/A",
