Quest Name,Objective,Steps,Min Level,Max Level,First Step Position
Планы снабжения,"Item Защищенный кейс для документов 0052",1,13,31,"(-3.3, -1.5, -80.7)"
Секта - Часть 2,"Zone place_peacemaker_007_2_N2",1,18,41,"(196.0, 0.4, -7.2)"
Секта - Часть 2,"Zone place_peacemaker_007_2_N2_1",1,18,41,"(-88.7, 12.4, -717.6)"
Врачебная тайна - Часть 3,"Zone ter_015_area_1",1,20,45,"(-97.2, -15.5, 219.8)"
Врачебная тайна - Часть 3,"Item Проба крови",1,20,45,"(-94.5, -16.4, 218.6)"
Благодарность,"Zone place_THX_15",2,15,35,"(23.8, -16.2, 99.8)"
Осведомлён значит вооружён,"Zone place_skier_11_1",2,24,51,"(31.1, -13.8, 83.0)"
Лендлиз - Часть 1,"Item Контроллер мотора №1",1,25,53,"(233.8, -0.3, -71.1)"
Лендлиз - Часть 1,"Item Одноосный волоконно-оптический гироскоп №1",1,25,53,"(57.1, -2.6, -49.4)"
Прикормка,"Zone place_skier_12_3",2,24,51,"(-6.2, -1.5, -74.8)"
Кровь войны - Часть 3,"Zone bar_fuel3_1",1,30,60,"(356.3, -0.6, -87.1)"
Кровь войны - Часть 3,"Zone bar_fuel3_2",1,30,60,"(-325.1, 15.3, 23.7)"
Кровь войны - Часть 3,"Zone bar_fuel3_3",1,30,60,"(-199.5, 30.4, -210.9)"
Поручение,"Zone huntsman_001",1,2,11,"(-256.0, 8.5, 9.9)"
Поручение,"Item Зашифрованное сообщение",1,2,11,"(-256.8, 8.6, 7.9)"
Путь выживальщика - Запасливый,"Zone huntsman_005_1",2,2,11,"(-386.8, 3.3, 22.6)"
Путь выживальщика - Запасливый,"Zone huntsman_005_2",2,2,11,"(447.7, -14.2, 70.5)"
Поисковая миссия,"Zone pr_scout_col",1,5,17,"(195.6, 10.9, -595.8)"
Поисковая миссия,"Zone pr_scout_base",1,5,17,"(283.1, 23.1, -439.4)"
Проверка - Часть 2,"Zone meh_45_radio_area_mark_1",1,35,70,"(222.2, 20.2, -706.6)"
Проверка - Часть 2,"Zone meh_45_radio_area_mark_2",1,35,70,"(-156.1, 51.2, -273.3)"
Проверка - Часть 2,"Zone meh_45_radio_area_mark_3",1,35,70,"(-157.8, 45.9, -233.2)"
Проверка - Часть 2,"Zone meh_45_radio_area_mark_4",1,35,70,"(446.3, -14.2, 69.2)"
Ответная услуга,"Zone place_keeper5_1",2,35,70,"(289.5, 22.9, -438.1)"
Ответная услуга,"Zone place_keeper5_2",2,35,70,"(293.2, 22.9, -507.3)"
Устойчивый сигнал,"Zone q14_8_1",1,15,35,"(412.5, 12.9, -608.5)"
Устойчивый сигнал,"Zone q14_8_2",1,15,35,"(-209.3, 76.0, -278.9)"
Устойчивый сигнал,"Zone q14_8_3",1,15,35,"(-96.9, 12.4, -542.7)"
Устойчивый сигнал,"Zone q14_8_4",1,15,35,"(247.3, -10.0, 291.2)"
Устойчивый сигнал,"Zone q14_8_5",1,15,35,"(-447.3, 1.1, 249.0)"
Spawn Point Wander,"Spawn Point (370.7 17.3 -595.7)",1,0,99,"(370.7, 17.3, -595.7)"
Spawn Point Wander,"Spawn Point (487.4 -18.7 331.3)",1,0,99,"(487.4, -18.7, 331.3)"
Spawn Point Wander,"Spawn Point (-517.3 14.9 -366.0)",1,0,99,"(-517.3, 14.9, -366.0)"
Spawn Point Wander,"Spawn Point (366.0 13.9 -698.0)",1,0,99,"(366.0, 13.9, -698.0)"
Spawn Point Wander,"Spawn Point (-414.2 16.7 -362.9)",1,0,99,"(-414.2, 16.7, -362.9)"
Spawn Point Wander,"Spawn Point (-276.0 -1.1 334.3)",1,0,99,"(-276.0, -1.1, 334.3)"
Spawn Point Wander,"Spawn Point (410.8 -5.4 13.4)",1,0,99,"(410.8, -5.4, 13.4)"
Spawn Point Wander,"Spawn Point (280.4 8.3 -674.5)",1,0,99,"(280.4, 8.3, -674.5)"
Spawn Point Wander,"Spawn Point (-63.1 9.8 -587.3)",1,0,99,"(-63.1, 9.8, -587.3)"
Spawn Point Wander,"Spawn Point (-420.2 12.2 -509.6)",1,0,99,"(-420.2, 12.2, -509.6)"
Spawn Point Wander,"Spawn Point (-277.4 -1.5 329.7)",1,0,99,"(-277.4, -1.5, 329.7)"
Spawn Point Wander,"Spawn Point (368.7 -1.6 -81.7)",1,0,99,"(368.7, -1.6, -81.7)"
Spawn Point Wander,"Spawn Point (-522.8 -2.6 218.6)",1,0,99,"(-522.8, -2.6, 218.6)"
Spawn Point Wander,"Spawn Point (-441.5 0.2 344.8)",1,0,99,"(-441.5, 0.2, 344.8)"
Spawn Point Wander,"Spawn Point (-540.7 5.0 188.1)",1,0,99,"(-540.7, 5.0, 188.1)"
Spawn Point Wander,"Spawn Point (-615.0 14.7 -329.0)",1,0,99,"(-615.0, 14.7, -329.0)"
Spawn Point Wander,"Spawn Point (-84.2 8.8 -607.8)",1,0,99,"(-84.2, 8.8, -607.8)"
Spawn Point Wander,"Spawn Point (-519.5 12.6 -156.3)",1,0,99,"(-519.5, 12.6, -156.3)"
Spawn Point Wander,"Spawn Point (-496.5 5.6 81.5)",1,0,99,"(-496.5, 5.6, 81.5)"
Spawn Point Wander,"Spawn Point (268.5 17.5 -756.9)",1,0,99,"(268.5, 17.5, -756.9)"
Spawn Point Wander,"Spawn Point (518.4 -20.9 264.3)",1,0,99,"(518.4, -20.9, 264.3)"
Spawn Point Wander,"Spawn Point (-420.2 11.3 -519.4)",1,0,99,"(-420.2, 11.3, -519.4)"
Spawn Point Wander,"Spawn Point (-544.3 11.0 -438.9)",1,0,99,"(-544.3, 11.0, -438.9)"
Spawn Point Wander,"Spawn Point (-155.2 18.3 -620.4)",1,0,99,"(-155.2, 18.3, -620.4)"
Spawn Point Wander,"Spawn Point (-94.1 -1.3 387.8)",1,0,99,"(-94.1, -1.3, 387.8)"
Spawn Point Wander,"Spawn Point (-108.5 10.1 -609.9)",1,0,99,"(-108.5, 10.1, -609.9)"
Spawn Point Wander,"Spawn Point (-265.8 10.6 -632.2)",1,0,99,"(-265.8, 10.6, -632.2)"
Spawn Point Wander,"Spawn Point (231.4 26.2 -314.4)",1,0,99,"(231.4, 26.2, -314.4)"
Spawn Point Wander,"Spawn Point (-354.7 1.0 239.6)",1,0,99,"(-354.7, 1.0, 239.6)"
Spawn Point Wander,"Spawn Point (-54.1 8.9 -579.4)",1,0,99,"(-54.1, 8.9, -579.4)"
Spawn Point Wander,"Spawn Point (442.5 -17.5 261.2)",1,0,99,"(442.5, -17.5, 261.2)"
Spawn Point Wander,"Spawn Point (371.0 -1.8 -73.3)",1,0,99,"(371.0, -1.8, -73.3)"
Spawn Point Wander,"Spawn Point (-518.7 7.3 145.4)",1,0,99,"(-518.7, 7.3, 145.4)"
Spawn Point Wander,"Spawn Point (-174.5 9.4 -713.9)",1,0,99,"(-174.5, 9.4, -713.9)"
Spawn Point Wander,"Spawn Point (-429.0 25.5 -81.7)",1,0,99,"(-429.0, 25.5, -81.7)"
Spawn Point Wander,"Spawn Point (-331.6 18.5 -138.9)",1,0,99,"(-331.6, 18.5, -138.9)"
Spawn Point Wander,"Spawn Point (-390.6 -8.6 113.8)",1,0,99,"(-390.6, -8.6, 113.8)"
Spawn Point Wander,"Spawn Point (-181.3 34.1 -164.1)",1,0,99,"(-181.3, 34.1, -164.1)"
Spawn Point Wander,"Spawn Point (-12.3 13.8 -229.3)",1,0,99,"(-12.3, 13.8, -229.3)"
Spawn Point Wander,"Spawn Point (366.9 18.2 -598.2)",1,0,99,"(366.9, 18.2, -598.2)"
Spawn Point Wander,"Spawn Point (226.4 -8.7 197.5)",1,0,99,"(226.4, -8.7, 197.5)"
Spawn Point Wander,"Spawn Point (-199.9 33.5 -193.5)",1,0,99,"(-199.9, 33.5, -193.5)"
Spawn Point Wander,"Spawn Point (230.4 26.9 -320.3)",1,0,99,"(230.4, 26.9, -320.3)"
Spawn Point Wander,"Spawn Point (61.2 9.0 -657.8)",1,0,99,"(61.2, 9.0, -657.8)"
Spawn Point Wander,"Spawn Point (-23.7 9.1 -779.8)",1,0,99,"(-23.7, 9.1, -779.8)"
Spawn Point Wander,"Spawn Point (418.4 -6.2 14.3)",1,0,99,"(418.4, -6.2, 14.3)"
Spawn Point Wander,"Spawn Point (466.0 -15.0 176.3)",1,0,99,"(466.0, -15.0, 176.3)"
Spawn Point Wander,"Spawn Point (348.8 -0.9 -155.9)",1,0,99,"(348.8, -0.9, -155.9)"
Spawn Point Wander,"Spawn Point (-346.5 -8.4 131.0)",1,0,99,"(-346.5, -8.4, 131.0)"
Spawn Point Wander,"Spawn Point (280.7 -11.9 319.4)",1,0,99,"(280.7, -11.9, 319.4)"
Spawn Point Wander,"Spawn Point (-170.9 0.9 431.9)",1,0,99,"(-170.9, 0.9, 431.9)"
Spawn Point Wander,"Spawn Point (-525.1 -2.6 216.0)",1,0,99,"(-525.1, -2.6, 216.0)"
Spawn Point Wander,"Spawn Point (463.7 -12.2 115.7)",1,0,99,"(463.7, -12.2, 115.7)"
Spawn Point Wander,"Spawn Point (-539.9 -1.2 294.7)",1,0,99,"(-539.9, -1.2, 294.7)"
Spawn Point Wander,"Spawn Point (218.6 -12.3 279.4)",1,0,99,"(218.6, -12.3, 279.4)"
Spawn Point Wander,"Spawn Point (466.8 -14.9 174.3)",1,0,99,"(466.8, -14.9, 174.3)"
Spawn Point Wander,"Spawn Point (-277.3 30.9 -196.4)",1,0,99,"(-277.3, 30.9, -196.4)"
Spawn Point Wander,"Spawn Point (-93.0 -1.1 385.3)",1,0,99,"(-93.0, -1.1, 385.3)"
Spawn Point Wander,"Spawn Point (388.5 13.2 -407.3)",1,0,99,"(388.5, 13.2, -407.3)"
Spawn Point Wander,"Spawn Point (-492.4 20.6 -50.2)",1,0,99,"(-492.4, 20.6, -50.2)"
