Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot47,"CreamCheese",normal,78,Completed,"Big Red Rush","Big Red Rush: Objective #1","1","08:10:24","08:11:01",
Bot47,"CreamCheese",normal,78,Failed,"Big Red","Big Red: Objective #5","1","08:11:06","08:11:11",
Bot47,"CreamCheese",normal,78,Failed,"Big Red","Big Red: Objective #3","1","08:11:16","08:12:21",
Bot55,"DewardianDev",normal,33,Completed,"Giving Tree","Giving Tree: Objective #1","1","08:10:49","08:13:45",
Bot55,"DewardianDev",normal,33,Completed,"Boss Hunter","Spawn Point (255.5 1.2 -108.4)","1","08:13:50","08:15:14",
Bot55,"DewardianDev",normal,33,Active,"Boss Hunter","Spawn Point (195.3 1.8 -126.1)","1","08:15:19","N/A",
Bot56,"snowythefox811",normal,18,Completed,"Вымогатель","Zone dead_posylni","1","08:10:54","08:11:12",
Bot56,"snowythefox811",normal,18,Failed,"Вымогатель","Item Защищенный кейс для документов 0048","1","08:11:18","08:13:25",
Bot58,"Crow",normal,42,Active,"Осведомлён значит вооружён","Zone place_skier_11_2","1","08:11:07","N/A",
Bot59,"Archy",normal,16,Failed,"Провизор","Item Карбоновый кейс","1","08:11:10","08:13:48",
Bot59,"Archy",normal,16,Completed,"Провизор","Zone room114","1","08:13:53","08:14:29",
Bot59,"Archy",normal,16,Active,"Провизор","Zone vaz_feld","1","08:14:34","N/A",
Bot60,"Bepis",normal,52,Active,"Деза","Zone Q019_3","1","08:11:16","N/A",
Bot61,"Belzedar",normal,23,Pending,"Реагент - Часть 4","Zone gazel","1","08:11:16","N/A",
