Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot1,"Brin",normal,54,Failed,"Spawn Rush","Spawn Rush: Objective #1","1","13:55:06","13:55:59",
Bot2,"Tron",normal,53,Completed,"Black Room","Black Room: Objective #1","1","13:55:12","13:55:48",
Bot2,"Tron",normal,53,Completed,"Black Room","Black Room: Objective #3","1","13:55:53","13:56:04",
Bot2,"Tron",normal,53,Completed,"Black Room","Black Room: Objective #2","1","13:56:09","13:56:13",
Bot2,"Tron",normal,53,Completed,"Green Room","Green Room: Objective #5","1","13:56:19","13:56:19",
Bot2,"Tron",normal,53,Completed,"Green Room","Green Room: Objective #3","1","13:56:24","13:56:24",
Bot2,"Tron",normal,53,Completed,"Green Room","Green Room: Objective #2","1","13:56:29","13:56:50",
Bot2,"Tron",normal,53,Completed,"Green Room","Green Room: Objective #1","1","13:56:55","13:57:19",
Bot2,"Tron",normal,53,Completed,"Green Room","Green Room: Objective #6","1","13:57:24","13:58:06",
Bot2,"Tron",normal,53,Completed,"Green Room","Green Room: Objective #4","1","13:58:11","13:58:31",
Bot2,"Tron",normal,53,Completed,"Green Room","Green Room: Objective #8","1","13:58:36","13:58:46",
Bot2,"Tron",normal,53,Completed,"Green Room","Green Room: Objective #7","1","13:58:51","13:58:51",
Bot2,"Tron",normal,53,Completed,"Following the Bread Crumbs","Zone quest_zone_keeper7_test","1","13:58:56","14:01:23",
Bot2,"Tron",normal,53,Active,"Following the Bread Crumbs","Item Secured tape","1","14:01:28","N/A",
Bot3,"Zurugula",normal,39,Failed,"Admin Office","Admin Office: Objective #3","1","13:55:14","13:55:36",
Bot4,"LuckyCharmT",normal,36,Failed,"Following the Bread Crumbs","Zone quest_zone_keeper7_saferoom","1","13:55:18","13:55:30",
Bot4,"LuckyCharmT",normal,36,Completed,"Following the Bread Crumbs","Item Secured tape","1","13:55:35","13:55:53",
Bot4,"LuckyCharmT",normal,36,Completed,"Following the Bread Crumbs","Zone quest_zone_keeper7_test","1","13:55:58","13:56:30",
Bot4,"LuckyCharmT",normal,36,Completed,"Main Working Area West","Main Working Area West: Objective #4","1","13:56:35","13:57:05",
Bot4,"LuckyCharmT",normal,36,Completed,"Main Working Area West","Main Working Area West: Objective #3","1","13:57:10","13:58:03",
Bot4,"LuckyCharmT",normal,36,Completed,"Main Working Area West","Main Working Area West: Objective #1","1","13:58:08","14:00:55",
Bot4,"LuckyCharmT",normal,36,Failed,"Main Working Area West","Main Working Area West: Objective #5","1","14:01:00","14:01:43",
